horizon_name,model_name,row_count,calibration_intercept,calibration_intercept_ci_lower,calibration_intercept_ci_upper,calibration_intercept_p_value,calibration_slope,calibration_slope_ci_lower,calibration_slope_ci_upper,calibration_slope_p_value,effective_cluster_count,cluster_count,calibration_status
30d,raw,6,,,,,,,,,1.3846153846153846,2,too_few_rows
14d,raw,45,,,,,,,,,15.458015267175572,20,too_few_rows
7d,raw,68,0.4699728885434242,-0.21779623452509297,1.1147356964541213,0.192,1.2616534368025933,0.8061148677692248,1.6547958251693071,0.252,26.57471264367816,33,converged
3d,raw,129,0.6921621871342799,-0.019641686164908082,1.283283807852797,0.056,1.5598349390480393,1.028085018938841,2.037076167890004,0.044,28.06239460370995,40,converged
1d,raw,117,0.14260287156200402,-0.23996202494059193,0.5291341891689721,0.494,1.2312950713310076,0.8333816145779577,1.6177925400495954,0.256,28.224742268041236,36,converged
6h,raw,38,,,,,,,,,10.169014084507042,13,too_few_rows
1h,raw,5,,,,,,,,,3.5714285714285716,4,too_few_rows
close,raw,1,,,,,,,,,1.0,1,too_few_rows
30d,platt,6,,,,,,,,,1.3846153846153846,2,too_few_rows
14d,platt,45,,,,,,,,,15.458015267175572,20,too_few_rows
7d,platt,68,0.4531516212995615,-0.27778997948095974,1.0869864534488305,0.184,1.1347127508346322,0.7139170779826264,1.4805918645882432,0.49,26.57471264367816,33,converged
3d,platt,129,0.6704933106120814,-0.08454988304139184,1.2696084766544113,0.074,1.4020826353024172,0.9004310581237214,1.802192658101601,0.1,28.06239460370995,40,converged
1d,platt,117,0.12938153609988723,-0.26923117686745834,0.4889297512855318,0.514,1.1092814646249647,0.7506688970065816,1.438122651134148,0.544,28.224742268041236,36,converged
6h,platt,38,,,,,,,,,10.169014084507042,13,too_few_rows
1h,platt,5,,,,,,,,,3.5714285714285716,4,too_few_rows
close,platt,1,,,,,,,,,1.0,1,too_few_rows
30d,beta,6,,,,,,,,,1.3846153846153846,2,too_few_rows
14d,beta,45,,,,,,,,,15.458015267175572,20,too_few_rows
7d,beta,68,0.45312810897967065,-0.2591113533115942,1.090421669422589,0.228,1.1356218148689738,0.7250091302775395,1.4976047119834734,0.49,26.57471264367816,33,converged
3d,beta,129,0.6541889539412226,-0.06098947546927015,1.2511362996548612,0.076,1.397718504145188,0.9429337022987854,1.8077884064122538,0.094,28.06239460370995,40,converged
1d,beta,117,0.12389842841661254,-0.28935156586474564,0.489057577291596,0.478,1.109005370603887,0.7569803571889046,1.4489605291356162,0.5,28.224742268041236,36,converged
6h,beta,38,,,,,,,,,10.169014084507042,13,too_few_rows
1h,beta,5,,,,,,,,,3.5714285714285716,4,too_few_rows
close,beta,1,,,,,,,,,1.0,1,too_few_rows
30d,isotonic,6,,,,,,,,,1.3846153846153846,2,too_few_rows
14d,isotonic,45,,,,,,,,,15.458015267175572,20,too_few_rows
7d,isotonic,68,0.4109363673286139,-0.20347674528206808,0.9617642178346903,0.2,1.0515109783121657,0.5646641578662626,1.4115748884045696,0.77,26.57471264367816,33,converged
3d,isotonic,129,0.5094341427308418,0.010179156540614236,0.9874661818548682,0.044,1.280353688412473,0.9192137282391046,1.6376309230184491,0.124,28.06239460370995,40,converged
1d,isotonic,117,0.12011497442768423,-0.2442574628549295,0.4409044387495612,0.468,1.0542447762414882,0.7168745036191522,1.3607164810038357,0.722,28.224742268041236,36,converged
6h,isotonic,38,,,,,,,,,10.169014084507042,13,too_few_rows
1h,isotonic,5,,,,,,,,,3.5714285714285716,4,too_few_rows
close,isotonic,1,,,,,,,,,1.0,1,too_few_rows
30d,binned_reliability,6,,,,,,,,,1.3846153846153846,2,too_few_rows
14d,binned_reliability,45,,,,,,,,,15.458015267175572,20,too_few_rows
7d,binned_reliability,68,0.8974197723460485,0.23740166340820848,1.530619267591174,0.008,1.3751770057821913,0.8897308143279595,1.8459439291761062,0.128,26.57471264367816,33,converged
3d,binned_reliability,129,0.9890838165971276,0.20339761933167158,1.6503523272345968,0.022,1.6472696586401965,1.047209340755521,2.1725385945553164,0.034,28.06239460370995,40,converged
1d,binned_reliability,117,0.618311846109056,0.0600922549720427,1.1215073544984524,0.04,1.4460999794971765,0.8874422050425704,1.9551712996494186,0.128,28.224742268041236,36,converged
6h,binned_reliability,38,,,,,,,,,10.169014084507042,13,too_few_rows
1h,binned_reliability,5,,,,,,,,,3.5714285714285716,4,too_few_rows
close,binned_reliability,1,,,,,,,,,1.0,1,too_few_rows
30d,hierarchical_eb,6,,,,,,,,,1.3846153846153846,2,too_few_rows
14d,hierarchical_eb,45,,,,,,,,,15.458015267175572,20,too_few_rows
7d,hierarchical_eb,68,0.7017974726053174,-0.017992073884452692,1.3521380428757137,0.058,1.1003765874951337,0.6931842132265192,1.4393680065196792,0.598,26.57471264367816,33,converged
3d,hierarchical_eb,129,-0.1190717791412641,-0.444965372588445,0.17647749494737663,0.458,1.491464071591952,1.039429497702954,1.8555017953790323,0.046,28.06239460370995,40,converged
1d,hierarchical_eb,117,-0.774423105724113,-1.0096264391300227,-0.5338492339811387,0.0,1.1618776858896875,0.7416158045593507,1.5588264901571192,0.458,28.224742268041236,36,converged
6h,hierarchical_eb,38,,,,,,,,,10.169014084507042,13,too_few_rows
1h,hierarchical_eb,5,,,,,,,,,3.5714285714285716,4,too_few_rows
close,hierarchical_eb,1,,,,,,,,,1.0,1,too_few_rows
