horizon_name,model_name,row_count,brier_score,brier_delta_vs_raw,brier_score_ci_lower,brier_score_ci_upper,brier_delta_ci_lower,brier_delta_ci_upper,brier_delta_p_value,brier_delta_q_value,log_loss,log_loss_delta_vs_raw,log_loss_ci_lower,log_loss_ci_upper,log_loss_delta_ci_lower,log_loss_delta_ci_upper,log_loss_delta_p_value,log_loss_delta_q_value,expected_calibration_error,ece_delta_vs_raw,ece_ci_lower,ece_ci_upper,ece_delta_ci_lower,ece_delta_ci_upper,ece_delta_p_value,ece_delta_q_value,effective_cluster_count,cluster_count
30d,raw,6,0.17946666666666666,0.0,,,,,,,0.5177273515733712,0.0,,,,,,,0.34,0.0,,,,,,,1.3846153846153846,2
14d,raw,45,0.10371333333333334,0.0,,,,,,,0.3368953555931892,0.0,,,,,,,0.09888888888888889,0.0,,,,,,,15.458015267175572,20
7d,raw,68,0.10833382352941176,0.0,0.06530267686072219,0.1548395774647887,,,,,0.3471914441743711,0.0,0.23029343429326762,0.47504515000902653,,,,,0.12750000000000003,0.0,0.10687642357642363,0.19058682232957594,,,,,26.57471264367816,33
3d,raw,129,0.11184573643410849,0.0,0.0898762366397289,0.13485899385072098,,,,,0.3542781144804854,0.0,0.30037638197426675,0.41398949553621944,,,,,0.051085271317829466,0.0,0.043074265853312525,0.11529648057570134,,,,,28.06239460370995,40
1d,raw,117,0.1139444444444444,0.0,0.08611292857142858,0.141796856610029,,,,,0.3523346798853802,0.0,0.2805825158661438,0.4203214586072423,,,,,0.07564102564102565,0.0,0.06117326850094877,0.13732927050130397,,,,,28.224742268041236,36
6h,raw,38,0.03305263157894736,0.0,,,,,,,0.14902069160627218,0.0,,,,,,,0.12736842105263158,0.0,,,,,,,10.169014084507042,13
1h,raw,5,0.00032000000000000035,0.0,,,,,,,0.016162584472546482,0.0,,,,,,,0.016000000000000007,0.0,,,,,,,3.5714285714285716,4
close,raw,1,0.00010000000000000018,0.0,,,,,,,0.01005033585350145,0.0,,,,,,,0.010000000000000009,0.0,,,,,,,1.0,1
30d,platt,6,0.1790049768361366,-0.0004616898305300765,,,,,,1.0,0.5170765203196402,-0.000650831253730999,,,,,,1.0,0.3304825271702737,-0.009517472829726314,,,,,,1.0,1.3846153846153846,2
14d,platt,45,0.10185749304335749,-0.0018558402899758464,,,,,,1.0,0.3290546814059849,-0.007840674187204355,,,,,,1.0,0.10365019290637813,0.00476130401748924,,,,,,1.0,15.458015267175572,20
7d,platt,68,0.10778401442584307,-0.0005498091035686936,0.06205731681825724,0.15761835298272384,-0.0033570172845309946,0.002278848253959287,0.676,1.0,0.34415013316062415,-0.003041311013746939,0.22312802655836197,0.48139266182276064,-0.013792264391755515,0.007908437997742223,0.572,1.0,0.09286612938340909,-0.03463387061659094,0.07606260129745941,0.17143459614198736,-0.048639725757453775,-0.003269622836526643,0.02,0.17647058823529413,26.57471264367816,33
3d,platt,129,0.11175423788292714,-9.149855118134598e-05,0.08851344990893903,0.13514307818229632,-0.001512608788143521,0.0013949211456860656,0.868,1.0,0.35050387518963194,-0.003774239290853465,0.2886485731581826,0.406947906265381,-0.0090730721782069,0.0009466611881427292,0.122,0.7176470588235294,0.07159833281790363,0.02051306150007417,0.05044687142971719,0.125583202166756,-0.027572041931364227,0.04614667101444114,0.544,1.0,28.06239460370995,40
1d,platt,117,0.11406188206781695,0.00011743762337254604,0.08804127440147407,0.14362310385352264,-0.0015794510924971696,0.0016353100084044953,0.9,1.0,0.3490529765246142,-0.0032817033607659973,0.27731156215020364,0.42359696384289575,-0.009441135186757025,0.0034875800415388393,0.322,1.0,0.08843365952211385,0.0127926338810882,0.06756190890765364,0.1551969902746609,-0.02852293145465453,0.0582852266671914,0.584,1.0,28.224742268041236,36
6h,platt,38,0.02892610939184669,-0.004126522187100672,,,,,,1.0,0.13257627037394287,-0.01644442123232931,,,,,,1.0,0.11368172518954414,-0.013686695863087434,,,,,,1.0,10.169014084507042,13
1h,platt,5,0.00013816413199122047,-0.00018183586800877988,,,,,,1.0,0.010405541214047107,-0.0057570432584993746,,,,,,1.0,0.01033571420520185,-0.005664285794798158,,,,,,1.0,3.5714285714285716,4
close,platt,1,4.112217734420927e-05,-5.887782265579091e-05,,,,,,1.0,0.006433307002680504,-0.0036170288508209462,,,,,,1.0,0.006412657588255377,-0.0035873424117446318,,,,,,1.0,1.0,1
