horizon_name,model_name,row_count,calibration_intercept,calibration_intercept_ci_lower,calibration_intercept_ci_upper,calibration_intercept_p_value,calibration_slope,calibration_slope_ci_lower,calibration_slope_ci_upper,calibration_slope_p_value,effective_cluster_count,cluster_count,calibration_status
30d,raw,6849,-0.02895976650440152,-0.13681258040477193,0.06636530990698485,0.558,1.0585423638667262,0.9809645577455395,1.1280121057839714,0.118,979.6955159666674,2116,converged
14d,raw,9830,-0.042937674695200156,-0.1286391183758505,0.05108073503993321,0.354,1.0868553284694324,1.022248485377183,1.1455472122929484,0.004,1176.8512203439373,2873,converged
7d,raw,14899,-0.10998717793029426,-0.17870595448764987,-0.043628212524564246,0.0,1.0867672465148104,1.045007462553279,1.1257311779512995,0.0,1602.132043333598,4221,converged
3d,raw,33027,-0.06299059118400832,-0.11446967422613465,-0.01230813229767348,0.01,1.0192464915218398,0.9918357488118343,1.0454952581653638,0.186,2213.120124738522,10358,converged
1d,raw,71281,-0.10573503441909994,-0.13557647557507116,-0.07625446468009768,0.0,1.007347803841325,0.9865137115427604,1.028993277628103,0.484,7223.448589069393,24149,converged
6h,raw,112596,-0.06021246489078774,-0.08730054435204168,-0.032177420269151456,0.0,1.0535049596468087,1.0367727219138199,1.0698609082546549,0.0,10257.682194414283,34588,converged
1h,raw,61338,-0.0741523169295318,-0.10153713336584755,-0.04702325612917074,0.0,1.0610244815449037,1.0363945662676282,1.0843259495333226,0.0,4507.784542685776,17974,converged
15m,raw,116397,-0.047615251101415706,-0.06989850743784752,-0.026320898200260363,0.0,1.1264603871181342,1.1101437083282057,1.1414773437744437,0.0,18478.38788998834,33859,converged
close,raw,66395,-0.17339455011804672,-0.20223851629554634,-0.1434896827848186,0.0,1.15390782448354,1.1330287858513064,1.1739936013893546,0.0,18681.35771889157,28392,converged
30d,platt,6849,0.0066098808403560055,-0.09304915980919937,0.1054256254771856,0.908,0.9910063277981368,0.9197009134122913,1.0541117527229735,0.81,979.6955159666674,2116,converged
14d,platt,9830,-0.003975925720183805,-0.09874500840826135,0.08097397311772521,0.996,1.0174578653641875,0.9607106109513341,1.0706194066304264,0.454,1176.8512203439373,2873,converged
7d,platt,14899,-0.06413856033001865,-0.12779478606953398,0.00041368560968733464,0.054,1.015212319943793,0.9782362929464045,1.0540469619091688,0.404,1602.132043333598,4221,converged
