domain,model_name,row_count,expected_calibration_error,ambiguous_share,low_confidence_or_ambiguous_share,claim_status,notes
ambiguous,beta,1033,0.034675373509915515,1.0,1.0,exploratory_taxonomy_review_required,Domain reliability is generated from saved artifacts only and requires taxonomy-confidence review before confirmatory claims.
ambiguous,binned_reliability,1033,0.03757716364238095,1.0,1.0,exploratory_taxonomy_review_required,Domain reliability is generated from saved artifacts only and requires taxonomy-confidence review before confirmatory claims.
ambiguous,hierarchical_eb,1033,0.03817934721690965,1.0,1.0,exploratory_taxonomy_review_required,Domain reliability is generated from saved artifacts only and requires taxonomy-confidence review before confirmatory claims.
ambiguous,isotonic,1033,0.034936631748189444,1.0,1.0,exploratory_taxonomy_review_required,Domain reliability is generated from saved artifacts only and requires taxonomy-confidence review before confirmatory claims.
ambiguous,platt,1033,0.03680335844580314,1.0,1.0,exploratory_taxonomy_review_required,Domain reliability is generated from saved artifacts only and requires taxonomy-confidence review before confirmatory claims.
ambiguous,raw,1033,0.032362052274927396,1.0,1.0,exploratory_taxonomy_review_required,Domain reliability is generated from saved artifacts only and requires taxonomy-confidence review before confirmatory claims.
entertainment,beta,13270,0.014567772011703698,0.0,0.07151469480030143,exploratory_taxonomy_review_required,Domain reliability is generated from saved artifacts only and requires taxonomy-confidence review before confirmatory claims.
entertainment,binned_reliability,13270,0.01543893760360714,0.0,0.07151469480030143,exploratory_taxonomy_review_required,Domain reliability is generated from saved artifacts only and requires taxonomy-confidence review before confirmatory claims.
entertainment,hierarchical_eb,13270,0.07704613888714745,0.0,0.07151469480030143,exploratory_taxonomy_review_required,Domain reliability is generated from saved artifacts only and requires taxonomy-confidence review before confirmatory claims.
entertainment,isotonic,13270,0.01174479379765315,0.0,0.07151469480030143,exploratory_taxonomy_review_required,Domain reliability is generated from saved artifacts only and requires taxonomy-confidence review before confirmatory claims.
entertainment,platt,13270,0.014887763692472198,0.0,0.07151469480030143,exploratory_taxonomy_review_required,Domain reliability is generated from saved artifacts only and requires taxonomy-confidence review before confirmatory claims.
entertainment,raw,13270,0.020062547098718932,0.0,0.07151469480030143,exploratory_taxonomy_review_required,Domain reliability is generated from saved artifacts only and requires taxonomy-confidence review before confirmatory claims.
finance,beta,197456,0.006464980475242745,0.0,0.013248521189530833,exploratory_taxonomy_review_required,Domain reliability is generated from saved artifacts only and requires taxonomy-confidence review before confirmatory claims.
finance,binned_reliability,197456,0.006611184566991789,0.0,0.013248521189530833,exploratory_taxonomy_review_required,Domain reliability is generated from saved artifacts only and requires taxonomy-confidence review before confirmatory claims.
finance,hierarchical_eb,197456,0.043301748808354135,0.0,0.013248521189530833,exploratory_taxonomy_review_required,Domain reliability is generated from saved artifacts only and requires taxonomy-confidence review before confirmatory claims.
finance,isotonic,197456,0.007607745563957037,0.0,0.013248521189530833,exploratory_taxonomy_review_required,Domain reliability is generated from saved artifacts only and requires taxonomy-confidence review before confirmatory claims.
finance,platt,197456,0.005639201611843601,0.0,0.013248521189530833,exploratory_taxonomy_review_required,Domain reliability is generated from saved artifacts only and requires taxonomy-confidence review before confirmatory claims.
finance,raw,197456,0.015579470869459497,0.0,0.013248521189530833,exploratory_taxonomy_review_required,Domain reliability is generated from saved artifacts only and requires taxonomy-confidence review before confirmatory claims.
politics,beta,15615,0.010046036126299751,0.0,0.5231508165225744,exploratory_taxonomy_review_required,Domain reliability is generated from saved artifacts only and requires taxonomy-confidence review before confirmatory claims.
politics,binned_reliability,15615,0.01473214721563024,0.0,0.5231508165225744,exploratory_taxonomy_review_required,Domain reliability is generated from saved artifacts only and requires taxonomy-confidence review before confirmatory claims.
politics,hierarchical_eb,15615,0.05265069846891139,0.0,0.5231508165225744,exploratory_taxonomy_review_required,Domain reliability is generated from saved artifacts only and requires taxonomy-confidence review before confirmatory claims.
politics,isotonic,15615,0.012825481061252463,0.0,0.5231508165225744,exploratory_taxonomy_review_required,Domain reliability is generated from saved artifacts only and requires taxonomy-confidence review before confirmatory claims.
politics,platt,15615,0.010534904123594936,0.0,0.5231508165225744,exploratory_taxonomy_review_required,Domain reliability is generated from saved artifacts only and requires taxonomy-confidence review before confirmatory claims.
politics,raw,15615,0.011719500480307395,0.0,0.5231508165225744,exploratory_taxonomy_review_required,Domain reliability is generated from saved artifacts only and requires taxonomy-confidence review before confirmatory claims.
sports,beta,156896,0.0063855892470670505,0.0,0.0,exploratory_taxonomy_review_required,Domain reliability is generated from saved artifacts only and requires taxonomy-confidence review before confirmatory claims.
sports,binned_reliability,156896,0.008402098634786621,0.0,0.0,exploratory_taxonomy_review_required,Domain reliability is generated from saved artifacts only and requires taxonomy-confidence review before confirmatory claims.
sports,hierarchical_eb,156896,0.02626675699380124,0.0,0.0,exploratory_taxonomy_review_required,Domain reliability is generated from saved artifacts only and requires taxonomy-confidence review before confirmatory claims.
sports,isotonic,156896,0.010604460662425999,0.0,0.0,exploratory_taxonomy_review_required,Domain reliability is generated from saved artifacts only and requires taxonomy-confidence review before confirmatory claims.
sports,platt,156896,0.0062841033189433735,0.0,0.0,exploratory_taxonomy_review_required,Domain reliability is generated from saved artifacts only and requires taxonomy-confidence review before confirmatory claims.
sports,raw,156896,0.00821748164389151,0.0,0.0,exploratory_taxonomy_review_required,Domain reliability is generated from saved artifacts only and requires taxonomy-confidence review before confirmatory claims.
unknown,beta,66565,0.012668127461759151,0.0,1.0,exploratory_taxonomy_review_required,Domain reliability is generated from saved artifacts only and requires taxonomy-confidence review before confirmatory claims.
unknown,binned_reliability,66565,0.013422854933224227,0.0,1.0,exploratory_taxonomy_review_required,Domain reliability is generated from saved artifacts only and requires taxonomy-confidence review before confirmatory claims.
unknown,hierarchical_eb,66565,0.042658031897489936,0.0,1.0,exploratory_taxonomy_review_required,Domain reliability is generated from saved artifacts only and requires taxonomy-confidence review before confirmatory claims.
unknown,isotonic,66565,0.012722966684146676,0.0,1.0,exploratory_taxonomy_review_required,Domain reliability is generated from saved artifacts only and requires taxonomy-confidence review before confirmatory claims.
unknown,platt,66565,0.011779634782674957,0.0,1.0,exploratory_taxonomy_review_required,Domain reliability is generated from saved artifacts only and requires taxonomy-confidence review before confirmatory claims.
unknown,raw,66565,0.020144670622699628,0.0,1.0,exploratory_taxonomy_review_required,Domain reliability is generated from saved artifacts only and requires taxonomy-confidence review before confirmatory claims.
weather,beta,41777,0.007189997010236603,0.0,0.012399167005768725,exploratory_taxonomy_review_required,Domain reliability is generated from saved artifacts only and requires taxonomy-confidence review before confirmatory claims.
weather,binned_reliability,41777,0.013672671799921278,0.0,0.012399167005768725,exploratory_taxonomy_review_required,Domain reliability is generated from saved artifacts only and requires taxonomy-confidence review before confirmatory claims.
weather,hierarchical_eb,41777,0.05828356745024977,0.0,0.012399167005768725,exploratory_taxonomy_review_required,Domain reliability is generated from saved artifacts only and requires taxonomy-confidence review before confirmatory claims.
weather,isotonic,41777,0.0054720937448873835,0.0,0.012399167005768725,exploratory_taxonomy_review_required,Domain reliability is generated from saved artifacts only and requires taxonomy-confidence review before confirmatory claims.
weather,platt,41777,0.007540624656441724,0.0,0.012399167005768725,exploratory_taxonomy_review_required,Domain reliability is generated from saved artifacts only and requires taxonomy-confidence review before confirmatory claims.
weather,raw,41777,0.013343227134547725,0.0,0.012399167005768725,exploratory_taxonomy_review_required,Domain reliability is generated from saved artifacts only and requires taxonomy-confidence review before confirmatory claims.
