horizon_name,model_name,row_count,brier_score,brier_delta_vs_raw,brier_score_ci_lower,brier_score_ci_upper,brier_delta_ci_lower,brier_delta_ci_upper,brier_delta_p_value,brier_delta_q_value,log_loss,log_loss_delta_vs_raw,log_loss_ci_lower,log_loss_ci_upper,log_loss_delta_ci_lower,log_loss_delta_ci_upper,log_loss_delta_p_value,log_loss_delta_q_value,expected_calibration_error,ece_delta_vs_raw,ece_ci_lower,ece_ci_upper,ece_delta_ci_lower,ece_delta_ci_upper,ece_delta_p_value,ece_delta_q_value,effective_cluster_count,cluster_count
30d,raw,6849,0.11055768725361413,0.0,0.10415749394184004,0.11724777018625723,,,,,0.352142870951505,0.0,0.3336116579777898,0.3727581827531713,,,,,0.01077237552927433,0.0,0.010597369211927546,0.02272138871546729,,,,,979.6955159666674,2116
14d,raw,9830,0.10441749745676478,0.0,0.09819709032119979,0.11037120758999819,,,,,0.33092047757850007,0.0,0.3145786818737919,0.3469106682027767,,,,,0.014937945066124102,0.0,0.011506616356893712,0.023133522523964636,,,,,1176.8512203439373,2873
7d,raw,14899,0.10505015772870493,0.0,0.10031827200098194,0.10975535703941751,,,,,0.33111739188300604,0.0,0.3179690010545787,0.34406060860332727,,,,,0.016932008859655016,0.0,0.012964548117903046,0.023506344849671845,,,,,1602.132043333598,4221
3d,raw,33027,0.10945325037091727,0.0,0.105677861418725,0.11376649541547942,,,,,0.34402407885507974,0.0,0.33222921994429844,0.3554408095154146,,,,,0.010007266781724053,0.0,0.006950268905112452,0.014464764353999498,,,,,2213.120124738522,10358
1d,raw,71281,0.12143095355003905,0.0,0.11942327728804576,0.12331170684335445,,,,,0.3781960567921747,0.0,0.3722962965407608,0.3841481559933035,,,,,0.013582020454258504,0.0,0.01082673020429165,0.016517838772398437,,,,,7223.448589069393,24149
6h,raw,112596,0.11043131727590107,0.0,0.10856603432583034,0.11234268630700203,,,,,0.3427403651839408,0.0,0.3373833107613589,0.3477203759587017,,,,,0.010119542434900004,0.0,0.00791882658369559,0.012744145586722927,,,,,10257.682194414283,34588
1h,raw,61338,0.09593751181978104,0.0,0.09368273631898572,0.09812659200276395,,,,,0.30579742717130576,0.0,0.29965251260527853,0.3123518154421308,,,,,0.011144315106459307,0.0,0.008978957303340055,0.014417126940598622,,,,,4507.784542685776,17974
15m,raw,116397,0.10243894516175177,0.0,0.10110986615040589,0.10380056874254047,,,,,0.32727523890012516,0.0,0.3237080912091184,0.3307955135913192,,,,,0.01773078343943573,0.0,0.01612082380838491,0.019713843563612176,,,,,18478.38788998834,33859
close,raw,66395,0.054743965660107495,0.0,0.053416754569769374,0.05607798102188888,,,,,0.19068760574463395,0.0,0.18645341498581847,0.19507682071323734,,,,,0.017971534001054293,0.0,0.016244387671972924,0.019807515374457383,,,,,18681.35771889157,28392
30d,platt,6849,0.11050293056671155,-5.475668690257951e-05,0.10370576358795693,0.11733962676974542,-0.00034934173863791784,0.00023507387080424125,0.7,0.8159638554216867,0.3516966769692348,-0.00044619398227019325,0.3328365225202461,0.3734396970146883,-0.0016011255752667185,0.000922323165796046,0.486,0.6248571428571429,0.007357007849310997,-0.003415367679963333,0.007883274773846073,0.01963839473463312,-0.008637559974677486,0.003814821730448713,0.396,0.5248356164383562,979.6955159666674,2116
14d,platt,9830,0.1042482529829665,-0.00016924447379827734,0.09858688518716269,0.11029979150547822,-0.00038161807013682524,6.505974280227574e-05,0.172,0.2684032258064516,0.3296636672157594,-0.001256810362740668,0.3129415251765323,0.34544475670941216,-0.0022050217002192512,-0.00023591570754878682,0.018,0.03957954545454545,0.010202603511930086,-0.004735341554194016,0.008237970531935089,0.01918621823128261,-0.00921808036946672,0.001616130468646602,0.202,0.3053671875,1176.8512203439373,2873
7d,platt,14899,0.10477073391827288,-0.00027942381043205566,0.09957930334447358,0.10939156690629198,-0.0004541530639030721,-0.00011453993708044924,0.0,0.0,0.32950423770939313,-0.0016131541736129074,0.31649824780044505,0.34303621054631833,-0.0022714679381083966,-0.0009566512703598271,0.0,0.0,0.009538047695523627,-0.007393961164131388,0.00782391654933296,0.017206113863463254,-0.009454593837314975,-0.0017576063284442396,0.01,0.024037267080745342,1602.132043333598,4221
3d,platt,33027,0.1094091928182854,-4.4057552631870944e-05,0.10534554670934589,0.11334030502337573,-0.0001920228860962604,0.00010869046773197998,0.612,0.7447924528301887,0.34405118670886314,2.7107853783403524e-05,0.3325034608292857,0.3556003498239185,-0.0004700860050105878,0.0005803395356581584,0.892,0.9509752066115703,0.008693912998829439,-0.0013133537828946135,0.006641241910310434,0.013442921745457432,-0.005558113796740365,0.0042798310472932305,0.772,0.8685,2213.120124738522,10358
1d,platt,71281,0.12133191465364611,-9.903889639294172e-05,0.1192819283074572,0.1234826811480528,-0.00019143209264026222,-8.545877485995666e-06,0.038,0.07503061224489796,0.3779596114640287,-0.0002364453281460399,0.37209596395250055,0.3842565350928456,-0.0006057580456161459,0.00016030530888354747,0.25,0.3650943396226415,0.007008007277886755,-0.006574013176371749,0.005286537941892898,0.010412108935363098,-0.009089767533209791,-0.00233392001689805,0.002,0.00526530612244898,7223.448589069393,24149
6h,platt,112596,0.11040455245069435,-2.6764825206720966e-05,0.1084947539042787,0.11234330774530941,-0.00011310558791592571,6.135941483284319e-05,0.51,0.645,0.34214495371024684,-0.0005954114736939631,0.337259209233827,0.34747011883928275,-0.0009162526954870415,-0.00030145890240542404,0.0,0.0,0.005938511542024072,-0.004181030892875932,0.004234856742917698,0.0085598903448073,-0.007124087536073301,-0.0006762014556403685,0.03,0.06142857142857142,10257.682194414283,34588
1h,platt,61338,0.09580353457934557,-0.00013397724043547055,0.09354365768011512,0.09812641172082616,-0.00022434177657707714,-3.070891755832967e-05,0.006,0.015176470588235295,0.30524954768532064,-0.0005478794859851144,0.2988458174051683,0.31200595061378417,-0.0009923208035945603,-7.332926783276653e-05,0.02,0.04276243093922652,0.00462773768670388,-0.0065165774197554266,0.003697910795172028,0.007791689614470954,-0.007908475597854256,-0.0033308410175281766,0.0,0.0,4507.784542685776,17974
15m,platt,116397,0.10211286870183073,-0.0003260764599210403,0.10077583143329741,0.10335456066700038,-0.0003921756855023403,-0.00026333323519089457,0.0,0.0,0.32560297387647125,-0.0016722650236539183,0.3218440729560387,0.3293620879868846,-0.001914596169226406,-0.001434587965940412,0.0,0.0,0.007688733351776318,-0.010042050087659413,0.005852565163095526,0.0096603294165109,-0.011075474677088365,-0.009343514934080532,0.0,0.0,18478.38788998834,33859
close,platt,66395,0.05435112082479121,-0.0003928448353162847,0.052995671533767136,0.055787523425760877,-0.00044290900207899253,-0.00034153582132390924,0.0,0.0,0.18859853272027843,-0.0020890730243555145,0.18404452861435625,0.19299429867911147,-0.0023449201203519254,-0.0018255078781517383,0.0,0.0,0.010434369654926277,-0.007537164346128016,0.008931409758681555,0.01233730034796904,-0.007930866809412367,-0.006809774783619841,0.0,0.0,18681.35771889157,28392
30d,beta,6849,0.11050894935765172,-4.873789596240852e-05,0.104020726536565,0.11742197620773244,-0.0002877264165760523,0.00024700342954171245,0.732,0.837929203539823,0.351414070461279,-0.0007288004902260004,0.33237266996149367,0.3729043169184903,-0.0018690531395239747,0.0005127804866394809,0.258,0.3753609022556391,0.006349269323474586,-0.004423106205799744,0.007089111481469719,0.0197517628128603,-0.008446079840155992,0.003417454511035832,0.316,0.4414873646209386,979.6955159666674,2116
14d,beta,9830,0.10423716993955591,-0.00018032751720886697,0.09820724073746169,0.11101927860300781,-0.0004081416741647941,5.67594467714305e-05,0.142,0.22708264462809916,0.3295403056717208,-0.0013801719067792484,0.31456289615429733,0.34644680033265884,-0.00226850141971541,-0.00035012620890365227,0.012,0.027642857142857143,0.009415622426772935,-0.005522322639351167,0.0074049296670724365,0.018109306857784824,-0.009284683019821967,0.0010369140613113623,0.114,0.19098701298701298,1176.8512203439373,2873
7d,beta,14899,0.10477878381825295,-0.000271373910451983,0.09992605785392664,0.10972693473304872,-0.0004449613951465107,-0.00010042987408893067,0.0,0.0,0.32947654342239824,-0.0016408484606078022,0.3167032962377155,0.34392010911140114,-0.0022603157880737522,-0.000970627075941574,0.0,0.0,0.009383154634107464,-0.007548854225547552,0.007175745423243014,0.016731458889552846,-0.008863088998628449,-0.0026588884771398,0.002,0.00526530612244898,1602.132043333598,4221
3d,beta,33027,0.10941473326055222,-3.851711036505223e-05,0.10553927015123245,0.11351105597230468,-0.00016097638378129565,9.208400510112492e-05,0.594,0.7274620253164557,0.3441401922369438,0.00011611338186406917,0.33343180088321533,0.3555130484298116,-0.0004630448538709751,0.0006999184956779306,0.698,0.8159638554216867,0.00928381741517301,-0.0007234493665510423,0.007104596572642706,0.014112944631673213,-0.00508713870382195,0.004736047626640722,0.932,0.9774634146341464,2213.120124738522,10358
1d,beta,71281,0.12133750773415478,-9.344581588427436e-05,0.11914362083345138,0.12338546862094069,-0.00018008382209010307,-6.452649981845412e-09,0.05,0.09042056074766355,0.37792394028683574,-0.0002721165053389818,0.3719676881795024,0.3836742737190092,-0.0006363176415848038,0.00014033612230340023,0.164,0.258,0.007392048614669313,-0.006189971839589191,0.005544467221824637,0.010741911874580626,-0.008841175459964597,-0.0021908549514048133,0.002,0.00526530612244898,7223.448589069393,24149
6h,beta,112596,0.11040605995762007,-2.525731828099953e-05,0.10837169063151339,0.11259447970304298,-0.00010575905668202378,5.6382573790154086e-05,0.5,0.6344262295081967,0.34206971583445767,-0.0006706493494831323,0.3372242748957841,0.3470775860931078,-0.0009709701125813241,-0.0003569831400248288,0.0,0.0,0.006058350130171265,-0.004061192304728739,0.004312838901043006,0.008496245055734241,-0.007186641848239344,-0.0008276077552448233,0.01,0.024037267080745342,10257.682194414283,34588
1h,beta,61338,0.09580945525684662,-0.0001280565629344227,0.09353601855512157,0.09795885190474347,-0.00022690397566712143,-3.243229550122551e-05,0.008,0.019719745222929935,0.3052018857559412,-0.0005955414153645533,0.29882216813302465,0.3118021296491066,-0.0010549401948100035,-0.0001669778203017044,0.002,0.00526530612244898,0.004429379064285853,-0.0067149360421734534,0.00353770993364963,0.007944984852994387,-0.008265123408810809,-0.0031726265218321704,0.0,0.0,4507.784542685776,17974
15m,beta,116397,0.10214187570023293,-0.00029706946151883407,0.10083545741634675,0.10339282741047819,-0.00035417073555440835,-0.00024256335215916007,0.0,0.0,0.32573216921183457,-0.0015430696882905992,0.3224203016515902,0.32955216264262716,-0.0017841619451906424,-0.001295613729480585,0.0,0.0,0.008026099395178805,-0.009704684044256926,0.006428576693729225,0.009963318302543597,-0.01039134148302646,-0.008917493375450529,0.0,0.0,18478.38788998834,33859
close,beta,66395,0.05438539249556292,-0.00035857316454457333,0.05295838098040442,0.055876321053344204,-0.00040652029026774545,-0.0003119618741082663,0.0,0.0,0.18865856866403707,-0.002029037080596874,0.18439117644346678,0.19291357602367284,-0.0022767322808736534,-0.0017990671905539252,0.0,0.0,0.01139258612891913,-0.006578947872135163,0.009836503214752094,0.013366945907144101,-0.006960137755888469,-0.005960900345145976,0.0,0.0,18681.35771889157,28392
30d,isotonic,6849,0.11059950054099127,4.181328737713763e-05,0.10393556949105524,0.1179149380968816,-0.0003852671643526442,0.0004837151156178878,0.826,0.9081306818181818,0.35381973728063554,0.0016768663291305552,0.3330552049366424,0.37486821458700936,-0.0028641352715507986,0.007786784587457701,0.524,0.6562718446601942,0.008958462592659635,-0.0018139129366146946,0.007967552920333054,0.02136863564038972,-0.008622908607294906,0.005343262671117026,0.65,0.774,979.6955159666674,2116
14d,isotonic,9830,0.10439466879918344,-2.2828657581339118e-05,0.09860587860841727,0.11135412877116921,-0.00037174383509509004,0.00034289355518093084,0.912,0.964327868852459,0.3331628455248275,0.002242367946327428,0.3168474223200684,0.35088871306156594,-0.001383953709825,0.006717558326574334,0.244,0.35768181818181816,0.012429821915680213,-0.0025081231504438892,0.009388777962734896,0.021351065635540185,-0.009044490348216755,0.0048255867576564235,0.546,0.67725,1176.8512203439373,2873
7d,isotonic,14899,0.10487854408823764,-0.00017161364046729133,0.10021815577586149,0.10954980194021006,-0.0004293276129742905,9.27018886598681e-05,0.174,0.27043373493975903,0.3360489299998383,0.004931538116832279,0.3216016428170857,0.35105864107687834,0.0010726585868104492,0.00937402126919388,0.008,0.019719745222929935,0.009315849403543732,-0.007616159456111283,0.007518071337212953,0.016837116466387355,-0.009782820281126477,-0.0011608215759181953,0.016,0.03579190751445087,1602.132043333598,4221
